Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0588331,34.83910815,3.7325,1016,1152,1321,1081
113.0685785,34.84826381,2.8825,1048,1197,1361,1028
113.0648373,34.84329275,3.0375,1028,1136,1346,1049
113.0636429,34.84194407,3.5875,1039,1132,1347,1085
113.0637909,34.84366663,3.605,1033,1190,1375,960
113.0644753,34.84391598,3.9575,1026,1155,1344,1058
113.067324,34.83810374,3.3,1017,1178,1398,1888
113.0722332,34.84938883,2.51,1055,1186,1378,1003
113.062868,34.84091958,1.0725,1000,1141,1325,1089
113.0601354,34.83911221,7.0725,1028,1136,1343,1221
113.0706575,34.85116337,2.69,1035,1145,1347,1072
113.0619956,34.83981874,2.445,868,986,958,973
113.0646008,34.84288172,2.2275,1022,1153,1349,1030
113.0641403,34.84383546,4.915,1028,1157,1346,1035
113.0702393,34.84943828,2.0075,1037,1193,1362,1046
113.0656297,34.84785874,1.4225,1141,1301,1530,1113
113.0748827,34.83837424,0.8875,1022,1154,1358,1110
113.0687194,34.84627545,1.87,1066,1182,1371,1002
113.0704837,34.84926931,1.6375,1054,1177,1376,1018
113.0615293,34.84069042,7.285,1029,1129,1331,1043
113.063383,34.83992182,1.435,1001,1136,1264,901
113.0614853,34.83815527,3.24,830,886,848,861
113.0639969,34.8436064,5.1625,1028,1157,1364,1002
113.0717759,34.83759976,1.66,1152,1351,1543,2098
113.0671218,34.84668619,3.755,1048,1172,1354,1050
113.0619622,34.84240736,4.85,1050,1194,1389,941
113.0623736,34.84157391,5.6575,1028,1149,1343,1056
113.0677138,34.84514115,2.0125,1050,1162,1347,1038
113.0584343,34.83990246,1.0575,1038,1173,1349,1045
113.0645695,34.84359644,3.85,1017,1140,1342,1063
113.0620108,34.84207444,4.975,1039,1203,1364,955
113.0624176,34.83765116,2.06,846,962,895,1399
113.0658376,34.84671966,4.2575,1072,1180,1377,976
113.061129,34.8408635,5.5975,1033,1178,1365,997
113.0725072,34.83791802,1.65,1007,1137,1330,1040
113.067644,34.84826598,4.04,1056,1180,1367,988
113.0601254,34.84125388,0.655,1021,1169,1349,1022
113.0604924,34.84053404,4.5175,1033,1161,1354,1016
113.0616853,34.83916858,2.215,957,1129,1212,1480
113.0612422,34.84191713,3.555,1049,1181,1375,966
113.0598361,34.84077586,1.1925,1050,1207,1383,979
113.0618475,34.84185043,3.855,1039,1162,1361,967
113.0693199,34.83847628,2.9025,1017,1174,1326,1164
113.0659058,34.84574675,4.0475,1044,1165,1352,1046
113.0618006,34.83841667,3.22,819,878,804,750
113.0679644,34.83811711,3.28,1234,1493,1792,2483
113.0717831,34.83767511,1.45,1090,1242,1442,1604
113.0725169,34.84905337,2.9575,1027,1157,1364,1054
113.0660752,34.84809176,1.955,1102,1238,1455,987
113.0618588,34.84149263,5.255,1034,1174,1358,1000
113.0629037,34.83932496,2.1775,812,888,802,688
113.0719762,34.84980295,2.4975,1060,1186,1384,973
113.061317,34.83826866,3.2,830,886,848,861
113.0708318,34.84975438,2.2475,1036,1155,1364,1066
113.0587577,34.83969098,1.665,1044,1185,1353,1031
113.0614007,34.83821659,3.3225,830,886,848,861
113.0649697,34.84530902,3.9525,1064,1220,1385,939
113.0626381,34.84133209,4.54,1017,1145,1336,1079
113.0617188,34.83911887,2.5225,857,911,872,934
113.0578714,34.82919237,3.695,806,903,859,910
113.0627145,34.83942836,2.0625,828,892,809,669
113.0628102,34.8405723,1.035,1007,1125,1291,969
113.063159,34.84453937,1.6075,1069,1203,1402,1019
113.0598633,34.84018152,3.15,1033,1157,1346,1025
113.0639168,34.84464412,4.1625,1054,1185,1380,974
113.0679588,34.83813509,3.8025,1023,1178,1347,1499
113.068117,34.83842485,1.9375,1017,1174,1326,1383
113.0595217,34.83916122,6.0925,1045,1165,1347,1063
113.0612343,34.8425609,0.975,1059,1209,1377,992
113.0718861,34.84980137,2.7775,1036,1188,1382,977
113.0608273,34.84128242,3.8375,1044,1194,1378,975
113.0596419,34.84081729,0.9025,1039,1161,1346,1030
113.06989,34.84848437,2.27,1059,1188,1386,991
113.0710663,34.85099247,1.98,1040,1170,1358,1072
113.0627276,34.84322076,3.625,1048,1172,1358,963
113.061241,34.8416971,4.0475,1033,1185,1371,970
113.0604766,34.84148556,0.5475,1027,1164,1346,1040
113.0681721,34.84581154,1.9,1061,1199,1382,993
113.0625749,34.84056722,1.365,985,1112,1240,955
113.062119,34.84000046,2.8775,879,978,951,917
113.0643038,34.84267528,3.1475,1028,1149,1336,1061
113.0623912,34.84303813,3.95,1039,1177,1367,978
113.0626138,34.84153749,4.61,1017,1136,1343,1084
113.0626986,34.84295694,4.67,1044,1177,1364,964
113.0708706,34.85112707,2.305,1040,1157,1358,1076
113.06474,34.84401067,4.2,1026,1160,1344,1072
