Longitude,Latitude,Elevation,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,Band_11,Band_12
104.275093078613,30.2999458312988,22.92,-5.638665087,-5.633850418,-5.872899963,-5.846277208,-6.027778036,-5.196657781,-5.726539398,-6.550584923,2.79613697098993,3.35006061475595,0.834652650365143
104.275512695312,30.2999477386475,20.04,-5.742629114,-5.776829654,-5.63712916,-6.189812672,-5.579296924,-5.22210841,-6.196418357,-6.555060358,2.7003556527722,3.42931755961619,0.787432369802002
104.275199890137,30.2999458312988,21.83,-5.639441575,-5.633850418,-5.77127764,-5.847988228,-6.028910214,-5.196562046,-5.812410251,-6.470125327,2.79613697098993,3.38270467126877,0.82659801629717
104.275619506836,30.2999477386475,20.54,-5.743491801,-5.776829654,-5.932279789,-6.415353006,-5.580016357,-5.198656008,-6.197412894,-6.55595746,2.7003556527722,3.33201422305816,0.810427408768317
104.27530670166,30.3000373840332,19.85,-5.640218666,-5.633850418,-5.722271675,-5.846847116,-6.027778036,-5.196562046,-5.90803193,-6.321186948,2.79613697098993,3.39926083433405,0.822572055297346
104.275932312012,30.2995891571045,20.21,-5.749535964,-5.893737719,-6.133212143,-6.013524817,-6.229175998,-5.176577469,-6.272957591,-6.655326825,2.62546611534145,3.27630760444416,0.801349089377361
104.275932312012,30.2996788024902,20.34,-5.748242005,-5.687345031,-6.133212143,-5.722822904,-6.038694276,-5.176577469,-6.139553563,-6.562048874,2.75977303460107,3.27630760444416,0.842342468349908
104.275932312012,30.2997703552246,20.56,-5.747162406,-5.687345031,-5.881651159,-5.763589006,-6.037319769,-5.199799238,-5.866892072,-6.560915837,2.75977303460107,3.34735400836829,0.824464047633359
104.275825500488,30.2998600006104,20.5,-5.746296621,-5.730988043,-6.199648792,-6.601049692,-5.511480583,-5.199418269,-6.075349867,-6.557982499,2.7305711413431,3.2596225939311,0.837695488559623
104.27416229248,30.300121307373,24.94,-5.678141953,-5.503633169,-5.585621974,-5.886773023,-5.685300959,-5.191916713,-5.60474634,-5.969268421,2.88720767034794,3.44831134763529,0.837281608091412
