Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.274978637695,30.3012981414795,19.97,-5.270284173,-5.711122111,-5.665324749,-5.932063303,-5.680182771,-5.031501218,-5.600228819,-6.624476236,2.74381129664665
104.267364501953,30.3184909820557,20.83,-4.89662291,-4.855147673,-5.101282116,-4.906841311,-4.67247732,-4.519240058,-4.688207572,-5.309764067,3.38838315728707
104.268424987793,30.3157005310059,18.73,-5.023073013,-4.9871441,-5.129768703,-5.185479985,-4.97991859,-4.742444317,-4.936261809,-5.657951741,3.28062924365663
104.272384643555,30.3010139465332,19.76,-5.607413889,-5.562951579,-6.302673447,-5.913412832,-5.838367424,-5.046243192,-5.519534743,-6.109197268,2.84528016991331
104.259498596191,30.3138446807861,26.54,-5.116808079,-5.422078161,-5.487611272,-5.333554681,-5.119779638,-4.735476395,-4.839642695,-5.55877759,2.9460242769052
104.27059173584,30.3039817810059,16.36,-6.074623831,-5.694423425,-5.96123585,-6.027182458,-5.6315894,-5.232625133,-5.592212702,-6.391267094,2.75500822069825
104.261878967285,30.31494141,26.36,-5.094490237,-5.124829493,-5.262059507,-5.229381274,-5.05719748,-4.544079453,-4.896294437,-5.358172371,3.17113432197905
104.26343536377,30.3156719207764,10.84,-5.017449302,-4.896865445,-5.326965467,-5.183080039,-4.918385674,-4.495294987,-4.717539678,-5.146988816,3.35404646913661
104.269035339355,30.3180503845215,21.12,-4.760971957,-4.906413161,-5.116505675,-5.035996389,-5.048051732,-4.365824107,-4.53358297,-5.155135306,3.34622389252803
104.262390136719,30.3159370422363,25.03,-4.912722069,-5.046755239,-5.256103619,-5.12891583,-5.051965833,-4.690842943,-4.806563227,-5.304422928,3.23284510819714
104.267517089844,30.312536239624,19.84,-5.157138377,-5.006329688,-5.610265942,-5.494591717,-5.198630108,-5.044016116,-5.029167934,-5.605620765,3.26518858586369
104.268775939941,30.3112812042236,15.55,-5.179139181,-5.235084054,-5.830978099,-5.669473994,-5.409570215,-5.081948975,-5.356526931,-5.990393563,3.08575728091807
104.268989562988,30.3101081848145,22.61,-5.256227897,-5.27843034,-5.748951199,-5.318233484,-5.306172175,-5.180829336,-5.42981984,-6.006303739,3.05278353831575
104.268249511719,30.3120899200439,17.24,-5.19715144,-5.313761415,-5.583352981,-5.350728954,-5.230389564,-4.970600461,-5.099057058,-5.885461908,3.02616250448867
104.265731811523,30.3145122528076,15.54,-5.042865615,-5.332615576,-5.652416236,-5.42948652,-5.171215058,-4.664225423,-4.989051135,-5.725458981,3.01205185715571
104.270896911621,30.3054275512695,17.2,-5.599046398,-5.638479713,-6.210636755,-5.956297199,-5.300066801,-5.331525465,-5.449553068,-6.067500848,2.79296556846236
104.268295288086,30.3200302124023,20.82,-4.825236443,-4.953141163,-5.094407606,-4.977487394,-4.726867457,-4.389492878,-4.499763149,-5.101612014,3.30813577771578
104.26798248291,30.3192176818848,23.44,-4.872712938,-4.916101721,-5.262291978,-4.961631018,-4.845327185,-4.482663709,-4.672426131,-5.235507108,3.33829975931131
104.256912231445,30.3115749359131,17.61,-5.210183309,-5.294877233,-5.529923533,-5.281796099,-4.953343326,-4.5959181,-4.700408458,-5.332446344,3.0403623983819
104.270263671875,30.3064155578613,16.42,-5.538831948,-5.924831185,-6.117834279,-5.937608702,-5.648281948,-5.351522908,-5.60904096,-6.109719571,2.60608209698493
104.267669677734,30.3195762634277,21.62,-4.784064559,-4.910706915,-5.147630329,-4.864797342,-4.639287901,-4.504824288,-4.684326509,-5.280523354,3.34271036830014
104.27352142334,30.3020114898682,21.51,-5.809660135,-5.446059264,-5.740687162,-5.813794369,-5.419574917,-5.133251881,-5.452800241,-6.051953158,2.928590906
104.267608642578,30.3141613006592,25.32,-5.058080155,-5.200065749,-5.339896494,-5.195383858,-5.161287054,-4.916711878,-5.148789714,-5.629580805,3.11264317935262
104.267684936523,30.3179512023926,25.94,-4.775061119,-4.840624524,-5.134055435,-4.893906814,-4.783426875,-4.462737397,-4.815189065,-5.537344206,3.40039575841787
